title,channel_id,subscribers,views,videos,country,custom_url
winters SEO,UCWVwkGrdqVEGkU3LNlp70fw,111000,31423865,1225,GB,@wintersseo
The Amber King,UCLSPmGfPWsRdMHpI4eBrBIg,107000,17370018,123,GB,@theamberking
Indomitus 40K,UCGec4BxdU33XW40DjsaiJpQ,106000,11529459,23,,@indomitus_40k
StrikingScorpion82,UC-u7aggg_-Q__FjA4_TNSTA,105000,31467554,2560,GB,@strikingscorpion82
Art of War 40k,UCtlNErjbGBp4bRquQgxIZ0g,101000,18633771,3713,US,@artofwar40k
Vanguard Tactics,UCWrN2DoDXyT2GxJXZ_AEemg,100000,12553515,1247,GB,@vanguardtactics
Warhipster,UCYuvyemU1ytWXgKiAAnIAow,100000,17556630,1310,GB,@warhipster
SN Battle Reports,UC0puBaPD2eSSAq87lyv7sYg,93100,6036457,660,GB,@snbattlereports
The Painting Phase,UCjw4ZC1GqBHOKWOYpRD-spg,91000,13759807,260,GB,@thepaintingphase
TacticalTortoise 40k,UCbxedkkUdwfJOO7a8d9d63w,87200,23597788,1847,,@tacticaltortoise
Loremaster of Sotek,UCH4nPsl2ctS365aEfFBwxbg,74600,24014274,1826,US,@loremasterofsotek
2+Tough,UC_N4w4z6CQEBgRfvlwlID_A,66100,15369784,1686,US,@2tough
Next Level Painting,UCTfnfIY3Kyxcv8sWck4sxvQ,63300,7717114,823,US,@nextlevelpainting
Lorekeeper's Librarium,UC4ES2IodasQ6NWtg6BQoGFg,54100,5788513,69,GB,@lorekeepers-librarium
Stories Of The Imperium,UCd0bpDPneRPLHeZXh8Jxxpg,51400,6590464,164,CA,@storiesoftheimperium
Glass Half Dead,UCh0xW4bNI1A9DePS8BY_gug,43500,13062788,1149,GB,@glasshalfdead
Mountainside Tabletop,UCKazVwWqMSRIc3eytqujrGw,41900,4437268,149,,@mountainsidetabletop
Platinum Lore,UCRexnyhbIiWiKLXteV9bRMg,38300,598392,16,US,@platinumlore
Tales From The Void,UC0mtW3_99gYfTOSX-HWdLZA,36800,4943954,233,,@talesfromthevoid-wh
GirlPainting,UCt2WNdy-1dxXHmhQX4yDlGw,36200,11262024,1325,DE,@girlpainting
Painting Buddha,UCMyleo6g75R-bvGsus2oI8Q,35500,2655744,141,DE,@paintingbuddha
Season of War,UC3eXLQju5Oz4GL8rxOGlK6w,34900,5040434,740,CA,@seasonofwar
The Pontius,UCrUK5TTwJWu2CQQdGi2OjCw,33500,1159683,31,IT,@thepontiusglaw69
The Honest Wargamer Streams,UCVROjrBtKMWbOJqE_jGy36g,33100,6093539,493,GB,@thehonestwargamerstreams
Ph3lan's Miniatures,UCU8oQavzw0Bm5qHdDar2trA,29500,3097619,269,CZ,@ph3lansminiatures
Minisodes,UCd0_IDkZePJ8KfiwpJHCYZA,27700,1680669,40,GB,@edpaintsminis
The Paint Beast,UC7_jIDARqnoYqjxCpIN5X7A,25700,5931196,133,GB,@thepaintbeast
HeyWoah,UCPd3QpPbl6ldSlKk9de2PCg,25700,3915637,265,US,@heywoah
Warhammer Theorist,UCSNhkKZOQrmouGA-EO15hew,24200,2540385,118,CA,@warhammertheorist
AoS Coach,UCQMNLM_JuDNLbvGG0ZUA8ow,23800,2766475,573,AU,@aoscoach
Can You Roll a Crit?,UCAon9h7jhZU4fVv2LeuA79g,23600,4629980,511,GB,@canyourollacrit
Swarm Painting,UCD7I4Eq2uPrFbRsRB6A4QlA,23500,3569437,28,,@swarm_painting
Metabreakers: Warhammer Age of Sigmar,UCG9tXzfzEcBIVJddM6PanFw,19200,2697204,714,GB,@metabreakers
Lorehammer,UCzV10CJsVxis5VTW6MbN4qw,18000,1030612,24,US,@lorehammertv
CatgutPainting,UC58nWVMsWOBywGOND3XN4cg,16200,1100706,25,US,@catgutpainting
Barnyard Wargaming,UCeJPCI-ifctlrZHPlTSBfOQ,13900,4249624,885,AU,@barnyard-wargaming
Maelstrom Gaming Studios - Tyranids,UC_HyR4OJZ9zE_QRe1r4ph6Q,13800,1830856,466,US,@maelstromgamingstudios
GFN Gaming,UC90M32OjXoOrfuwCdnczKUw,13600,991476,166,GB,@gfngaming
Warhammer Age of Sigmar: Realms of Ruin,UCjv2BLv1sQTtwj3vlvLhuxQ,12800,1671948,66,,@playrealmsofruin
Chewie Painting,UC2tXIWfLNNGZDG1vlplRpqg,12200,1735225,242,DE,@chewiepainting
MWG Battle Reports,UCCImcHv3HRo7VvDP3x69B4g,11800,969641,164,,@mwgbattlereports
Command Point,UCFDX6Z28pM1CdJLCvejU3Jw,11500,1505230,358,US,@commandpoint
Dusk Til Dawn Miniatures,UCd4jN0cgVu4VM23Pa0CIaug,9850,734482,345,AU,@dusktildawnminiatures
Tactical Skew,UCVmdZksO_AUKVv1FAkdQF4g,8460,390174,19,GB,@tacticalskew
War Hammered,UCrw9g3eT_0PBS9hIfTv8sYQ,7810,720118,233,,@war_hammered
WARRIOR KILL TEAM,UCnBOfWF38vFKJysCteBKT8w,7470,519976,325,,@warriorkillteam
PNW 40K,UC3-BTllFw0gdqGZfkfnzSkA,7390,566002,158,US,@pnw40k
Kylo,UCcWPUnbMDwvNe0KKwJpnyNw,6540,691599,107,PH,@kylo.archives
Paint By Az,UCuiTv7OuYZ4CU0-diee_zGw,6480,434802,51,,@paintbyaz
40K Lorecast,UCMKVC6FW0oeOBVw4hv0ySvQ,6300,174666,113,US,@40klorecast
